Week_number,Product_0979,Product_0993,Product_1157,Product_1159,Product_1938,Quarter,Season,Total_Revenue,MA_3_weeks,MA_5_weeks,LR_Prediction
1,4700,0,10000,50000,19,1,mùa Đông,64719,,,138680.92888243834
2,11800,0,150000,10000,11,1,mùa Đông,171811,,,139314.09984632462
3,16400,100,130000,130000,10,1,mùa Đông,276510,171013.33333333334,,139947.2708102109
4,5200,0,40000,30000,8,1,mùa Đông,75208,174509.66666666666,,140580.44177409718
5,8000,0,10000,60000,11,1,mùa Đông,78011,143243.0,133251.8,141213.61273798347
6,7000,100,40000,0,4,1,mùa Đông,47104,66774.33333333333,129728.8,141846.78370186975
7,16500,0,130000,30000,13,1,mùa Đông,176513,100542.66666666667,130669.2,142479.95466575603
8,5800,100,0,50000,1,1,mùa Đông,55901,93172.66666666667,86547.4,143113.1256296423
9,15300,0,40000,70000,2,1,mùa Đông,125302,119238.66666666667,96566.2,143746.2965935286
10,8900,300,370000,60000,11,1,mùa Xuân,439211,206804.66666666666,168806.2,144379.46755741487
11,15900,0,60000,30000,10,1,mùa Xuân,105910,223474.33333333334,180567.4,145012.63852130115
12,2100,0,90000,50000,0,1,mùa Xuân,142100,229073.66666666666,173684.8,145645.8094851874
13,12500,0,100000,40000,3,1,mùa Xuân,152503,133504.33333333334,193005.2,146278.9804490737
14,2100,100,0,110000,3,2,mùa Xuân,112203,135602.0,190385.4,146912.15141295997
15,400,100,10000,20000,14,2,mùa Xuân,30514,98406.66666666667,108646.0,147545.32237684625
16,6600,200,110000,120000,14,2,mùa Xuân,236814,126510.33333333333,134826.8,148178.49334073253
17,14000,0,190000,30000,25,2,mùa Xuân,234025,167117.66666666666,153211.8,148811.6643046188
18,300,0,10000,20000,0,2,mùa Xuân,30300,167046.33333333334,128771.2,149444.8352685051
19,3300,0,20000,70000,18,2,mùa Xuân,93318,119214.33333333333,124994.2,150078.00623239137
20,10700,0,30000,30000,11,2,mùa Xuân,70711,64776.333333333336,133033.6,150711.17719627765
21,11200,300,180000,10000,1,2,mùa Xuân,201501,121843.33333333333,125971.0,151344.34816016394
22,16700,300,70000,50000,8,2,mùa Xuân,137008,136406.66666666666,106567.6,151977.51912405022
23,2500,200,380000,0,5,2,mùa Hạ,382705,240404.66666666666,177048.6,152610.6900879365
24,17200,0,50000,20000,29,2,mùa Hạ,87229,202314.0,175830.8,153243.86105182278
25,2800,0,110000,60000,10,2,mùa Hạ,172810,214248.0,196250.6,153877.03201570906
26,22800,400,20000,70000,14,2,mùa Hạ,113214,124417.66666666667,178593.2,154510.20297959534
27,5400,400,50000,20000,6,3,mùa Hạ,75806,120610.0,166352.8,155143.37394348162
28,16000,100,130000,90000,5,3,mùa Hạ,236105,141708.33333333334,137032.8,155776.5449073679
29,3400,0,50000,60000,2,3,mùa Hạ,113402,141771.0,142267.4,156409.7158712542
30,9200,200,20000,10000,6,3,mùa Hạ,39406,129637.66666666667,115586.6,157042.88683514047
31,13500,200,30000,110000,2,3,mùa Hạ,153702,102170.0,123684.2,157676.05779902675
32,1700,100,200000,60000,2,3,mùa Hạ,261802,151636.66666666666,160883.4,158309.22876291303
33,3900,0,40000,0,12,3,mùa Hạ,43912,153138.66666666666,122444.8,158942.3997267993
34,12000,0,200000,10000,11,3,mùa Hạ,222011,175908.33333333334,144166.6,159575.5706906856
35,19500,0,40000,150000,6,3,mùa Hạ,209506,158476.33333333334,178186.6,160208.74165457184
36,5100,0,60000,70000,2,3,mùa Thu,135102,188873.0,174466.6,160841.91261845815
37,2400,300,230000,70000,14,3,mùa Thu,302714,215774.0,182649.0,161475.0835823444
38,2000,600,40000,60000,5,3,mùa Thu,102605,180140.33333333334,194387.6,162108.2545462307
39,20100,300,190000,50000,18,3,mùa Thu,260418,221912.33333333334,202069.0,162741.42551011697
40,11700,300,30000,140000,0,4,mùa Thu,182000,181674.33333333334,196567.8,163374.59647400325
41,4800,300,10000,50000,16,4,mùa Thu,65116,169178.0,182570.6,164007.76743788953
42,6000,300,300000,120000,8,4,mùa Thu,426308,224474.66666666666,207289.4,164640.9384017758
43,9700,0,50000,80000,3,4,mùa Thu,139703,210375.66666666666,214709.0,165274.1093656621
44,24500,0,20000,60000,17,4,mùa Thu,104517,223509.33333333334,183528.8,165907.28032954838
45,4300,300,30000,20000,19,4,mùa Thu,54619,99613.0,158052.6,166540.45129343466
46,7200,0,150000,0,12,4,mùa Thu,157212,105449.33333333333,176471.8,167173.62225732094
47,7600,100,160000,20000,2,4,mùa Thu,187702,133177.66666666666,128750.6,167806.79322120722
48,5400,0,190000,30000,19,4,mùa Thu,225419,190111.0,145893.8,168439.9641850935
49,22900,100,130000,40000,4,4,mùa Đông,193004,202041.66666666666,163591.2,169073.13514897978
50,11300,100,40000,10000,9,4,mùa Đông,61409,159944.0,164949.2,169706.30611286606
51,19000,100,230000,10000,29,4,mùa Đông,259129,171180.66666666666,185332.6,170339.47707675234
52,5200,0,10000,10000,9,4,mùa Đông,25209,115249.0,152834.0,170972.64804063863
